id,first_name,last_name,gender,birth_date,age,email,phone_number,address,city,postal_code,country,inn,passport_number,disease,chronic_condition,insurance_status,monthly_medical_expenses_usd,monthly_income_usd,monthly_expenses_usd,loan_amount_usd,loan_purpose,credit_score,education_level,employment_status,years_of_experience,family_size,number_of_children,marital_status,housing_status,industry
1,Sarah,Chang,Female,1991-08-03,34,tammy76@faulkner-howard.com,242.194.8924x11578,6593 Ramos Pike,Bryanside,45471,Trinidad and Tobago,879102014641,985670547,None,Acid Reflux,Partially Insured,278.55,2114.35,1386.25,10231.34,Car,666,Master's,Employed,1,2,1,Divorced,Living with Family,Transportation
2,Richard,Garrett,Male,2001-07-10,24,jessicapadilla@gmail.com,933.287.1158,48418 Olsen Plains Apt. 989,Seanfurt,21310,United Arab Emirates,418867422216,297427541,None,None,Uninsured,868.34,1310.32,1113.01,4481.19,Business,783,Associate Degree,Unemployed,0,1,0,Single,Mortgage,Hospitality
3,Chelsey,Lopez,Female,1969-09-28,56,daviskatherine@gmail.com,1868483396,7515 Tom Roads Suite 330,Davebury,00879,Trinidad and Tobago,465804433792,557554822,Diabetes,Seasonal Allergy,Partially Insured,1740.94,20120.36,8986.48,61557.95,Car,641,Bachelor's,Student,35,4,3,Single,Rent,Finance
4,Robert,Garcia,Male,1954-04-08,71,montoyacynthia@guzman.com,+1-916-151-0903x217,008 Oliver Village,Chadland,22475,Belarus,578245871000,293614873,Hypertension,Seasonal Allergy,Partially Insured,406.4,15725.94,14100.05,8575.19,Business,598,PhD,Student,28,5,4,Widowed,Living with Family,Hospitality
5,Antonio,Mcdonald,Male,1948-01-31,77,jorgestrong@yahoo.com,001-230-225-8419,207 Mccullough Well Suite 564,New Hannah,63590,Trinidad and Tobago,465411839492,893512518,Hypertension,Seasonal Allergy,Uninsured,138.17,31099.11,21390.76,29449.51,Personal,491,PhD,Unemployed,51,4,2,Married,Rent,IT
6,Angel,Campbell,Male,1967-01-11,58,chelsea59@hotmail.com,+1-246-610-9352x337,960 Savage Port Suite 027,West Jacquelinemouth,47601,United Arab Emirates,763836179371,911195599,Diabetes,Arthritis,Partially Insured,550.42,24044.15,19690.54,62730.0,Medical,541,PhD,Self-employed,34,5,4,Divorced,Own,Retail
7,Aaron,Williams,Male,1978-09-16,47,zwilliams@yahoo.com,812.066.5030,891 David Run,Port Kevin,03455,Trinidad and Tobago,620121315611,525949279,Diabetes,Seasonal Allergy,Insured,665.07,12119.72,9968.94,44327.22,Home,419,Master's,Employed,18,2,1,Single,Rent,Finance
8,Mark,Johnson,Male,1995-12-31,30,dennis85@wiggins.com,0348559097,658 Jared Radial Suite 022,Mathewstad,84365,United Arab Emirates,956151290236,766297724,None,None,Uninsured,183.06,9312.05,6212.06,5794.13,Home,493,PhD,Employed,10,1,0,Single,Own,Finance
9,Andrew,Nelson,Male,1954-09-07,71,ralph82@yahoo.com,730-428-1465,1187 Rogers Union Suite 171,Simmonsport,72448,Saint Pierre and Miquelon,787910120695,706113718,Asthma,None,Insured,143.94,6148.5,4694.86,16731.16,Education,403,PhD,Self-employed,7,1,0,Single,Mortgage,Education
10,James,Villegas,Male,1946-03-06,79,gonzalezjeffrey@smith-long.net,779-361-5349x2635,08731 Sanders Fords,Port Jasonberg,60595,Belarus,514285707969,488310240,None,Acid Reflux,Partially Insured,1345.28,15825.58,7128.8,20583.8,Home,781,PhD,Unemployed,29,5,3,Married,Rent,Retail
11,Kimberly,Hernandez,Female,2000-10-01,25,blittle@simpson.info,389.305.5508x2492,471 Zachary Canyon Apt. 320,Alexismouth,41214,Western Sahara,976863486936,259793710,Asthma,Acid Reflux,Partially Insured,1381.65,3966.42,1612.75,12869.71,Medical,697,Associate Degree,Employed,7,1,0,Divorced,Living with Family,IT
12,Sheila,Murray,Female,1984-11-19,41,berryerika@hotmail.com,001-916-348-9676x99300,8945 Trevor Greens,Kendrafurt,64818,Saint Pierre and Miquelon,805078132541,236709684,Asthma,Arthritis,Partially Insured,828.84,5137.63,3292.78,15163.14,Personal,435,Bachelor's,Employed,7,3,2,Divorced,Own,None
13,David,Blair,Male,1979-10-23,46,olsondonald@love.com,(097)670-1720x09925,853 Logan Tunnel,Rodriguezton,48899,Saint Pierre and Miquelon,776316424418,778940521,Hypertension,Arthritis,Partially Insured,1134.94,6912.26,3535.96,24550.62,Personal,724,PhD,Employed,10,4,3,Widowed,Rent,Hospitality
14,Timothy,Santos,Male,1974-09-08,51,vlloyd@lucero.com,6753751007,89933 Kimberly Road Suite 841,South Patricia,12672,Trinidad and Tobago,555716493994,167562878,Asthma,Seasonal Allergy,Uninsured,99.71,7045.53,5935.67,31136.84,Medical,806,Master's,Unemployed,10,5,4,Single,Own,Education
15,Brett,Ayala,Male,1938-07-12,87,bparks@yahoo.com,415-115-0552x03519,03104 Norris Rapids,Port Donald,92052,Western Sahara,480004506792,859651382,None,None,Insured,237.81,28183.24,14282.2,138132.35,Personal,841,Master's,Unemployed,53,6,5,Single,Living with Family,Construction
